"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_threshold","dropout","epochs","learning_rate","max_len","max_length","test_train_split","weight_decay","accuracy","balanced_accuracy","best_epoch","best_val_loss","epoch","f1_macro","f1_micro","loss","val_balanced_accuracy","val_loss"
"glamorous-sweep-473","z87699ay","finished","-","priceluke","","2022-04-20T04:00:10.000Z","9144","ne3vuqk1","128","0.017774679950779745","0.5","13","0.0001","90","33","0.95","","0.7159677565437913","0.9609867930412292","3","0.8594081997871399","12","0.7153149066545327","0.7159677565437913","0.1732138842344284","0.7159677743911743","1.5380290746688845"
"helpful-sweep-619","uozhjvqj","finished","-","priceluke","","2022-04-20T07:06:38.000Z","9128","ne3vuqk1","64","0.022991519026160732","0.1","13","0.00005","150","33","0.95","","0.7174169006430577","0.9592656493186952","2","0.8184675574302673","12","0.7173219852154539","0.7174169006430579","0.14314281940460205","0.7174168825149536","1.1795369386672974"
"copper-sweep-356","lfzwml1b","finished","-","priceluke","","2022-04-20T01:23:25.000Z","9110","ne3vuqk1","64","0.011740850782205535","0.4","17","0.0001","50","33","0.95","","0.6964863441426529","0.8770550489425659","2","0.9679054021835328","16","0.6954506091697967","0.6964863441426529","0.34838300943374634","0.6964863538742065","1.519436001777649"
"mild-sweep-33","2c71d9vq","finished","-","priceluke","","2022-04-19T20:22:42.000Z","9065","ne3vuqk1","64","0.007444139098418437","0.6","15","0.0003","150","33","0.85","","0.7138476514967145","0.870896577835083","3","0.9818178415298462","14","0.7104053158527741","0.7138476514967145","0.3969581127166748","0.7138476371765137","1.5739972591400146"
"flowing-sweep-770","2vhybuw5","finished","-","priceluke","","2022-04-20T13:53:43.000Z","9038","ne3vuqk1","32","0.02135506977119523","0.3","13","0.00005","80","33","0.95","","0.7106844186818827","0.9621342420578004","2","0.8636912107467651","12","0.7098426774313232","0.7106844186818828","0.1325233429670334","0.7106844186782837","1.299953818321228"
"clean-sweep-634","mhaqqxzi","finished","-","priceluke","","2022-04-20T07:24:18.000Z","9034","ne3vuqk1","32","0.020926966398515736","0.6","14","0.0001","100","33","0.95","","0.724360716118709","0.9563969969749452","3","0.842713475227356","13","0.7235103528734755","0.7243607161187091","0.16437123715877533","0.7243607044219971","1.5227521657943726"
"gallant-sweep-792","f631koc5","finished","-","priceluke","","2022-04-20T14:37:45.000Z","9033","ne3vuqk1","64","0.017884476894039374","0.2","11","0.00005","80","33","0.85","","0.7363430846576914","0.9326831102371216","2","0.7451557517051697","10","0.7348126502729829","0.7363430846576914","0.24503754079341888","0.7363430857658386","1.014447808265686"
"dutiful-sweep-921","l4b201r4","finished","-","priceluke","","2022-04-20T19:02:51.000Z","9031","ne3vuqk1","16","0.004204614855962538","0.6","11","0.00003","20","33","0.6","","0.5712747452994285","0.5187624096870422","10","1.4784988164901731","10","0.5500288963065373","0.5712747452994285","1.651359796524048","0.5712747573852539","1.4784988164901731"
"vibrant-sweep-225","ett6rww1","finished","-","priceluke","","2022-04-19T22:26:03.000Z","9028","ne3vuqk1","32","0.011279476573829769","0.2","15","0.0001","100","33","0.9","","0.7061509748639956","0.8827733993530273","1","0.8862864375114441","14","0.7040609850331832","0.7061509748639956","0.32136955857276917","0.7061509490013123","1.4164448976516724"
"peach-sweep-452","miv8yhst","finished","-","priceluke","","2022-04-20T03:28:21.000Z","9012","ne3vuqk1","64","0.012220469851059537","0.2","15","0.00003","150","33","0.9","","0.7114720247786205","0.8609721064567566","3","0.8929604887962341","14","0.7093487131003116","0.7114720247786205","0.4483159184455872","0.7114720344543457","1.018588900566101"
